,电影,票房占比,综合票房,场均人次,排片占比,上座率
423,有种你爱我,4.2%,946.11,31,5.6%,55.6%
424,奔跑吧！兄弟,3.6%,814.90,26,6.1%,37.8%
425,一路惊喜,3.1%,713.19,31,4.1%,54.1%
426,甜蜜蜜,2.7%,621.98,21,5.1%,28.4%
427,喜羊羊与灰太狼之羊年喜羊羊,0.9%,205.74,19,2.1%,26.2%
428,我只要我们在一起,0.8%,190.36,10,3.4%,16.0%
429,神探驾到,0.8%,188.67,27,1.3%,38.4%
430,新年行动,0.2%,50.29,9,1.1%,14.5%
431,深海挑战,0.1%,41.41,12,0.5%,13.7%
432,坚不可摧,0.1%,38.27,30,0.2%,47.1%
433,蜡笔总动员,0.1%,36.77,11,0.6%,15.7%
434,智取威虎山,0.1%,31.44,56,<0.1%,48.3%
435,摩尔庄园3：魔幻列车大冒险,0.1%,30.40,8,0.7%,14.1%
436,死亡之谜,<0.1%,19.23,12,0.3%,23.9%
437,重返20岁,<0.1%,10.24,30,<0.1%,40.9%
438,有一个地方只有我们知道,31.8%,2232.93,17,30.6%,14.8%
439,饥饿游戏3：嘲笑鸟（上）,18.5%,1298.00,14,19.0%,12.4%
440,熊出没之雪岭熊风,10.8%,759.51,17,9.2%,21.3%
441,霍比特人3：五军之战,8.4%,591.38,21,4.9%,22.9%
442,奔跑吧！兄弟,5.6%,392.45,12,7.4%,16.7%
443,狼图腾,4.6%,326.86,50,0.9%,27.2%
444,有种你爱我,4.1%,291.95,11,5.9%,18.6%
445,一路惊喜,3.7%,264.47,12,4.8%,19.6%
446,爸爸去哪儿2,3.7%,261.20,66,0.9%,71.4%
447,喜羊羊与灰太狼之羊年喜羊羊,2.0%,144.82,12,2.8%,16.7%
448,甜蜜蜜,1.9%,138.16,6,4.5%,7.8%
449,神探驾到,1.3%,91.15,11,1.7%,14.3%
450,坚不可摧,0.4%,31.30,17,0.3%,22.6%
451,智取威虎山,0.4%,30.25,37,0.1%,32.3%
452,深海挑战,0.3%,27.41,7,0.7%,7.8%
453,我只要我们在一起,0.3%,24.63,2,2.4%,3.0%
454,摩尔庄园3：魔幻列车大冒险,0.3%,24.16,6,0.9%,10.7%
455,蜡笔总动员,0.3%,24.03,7,0.8%,10.1%
456,新年行动,0.2%,20.79,4,1.2%,6.0%
457,死亡之谜,<0.1%,6.86,4,0.3%,7.7%
458,有一个地方只有我们知道,31.2%,1827.66,14,30.6%,12.3%
459,饥饿游戏3：嘲笑鸟（上）,19.0%,1115.43,12,19.2%,10.7%
460,熊出没之雪岭熊风,11.3%,665.03,15,9.4%,19.0%
461,霍比特人3：五军之战,8.9%,523.92,18,5.3%,19.8%
462,奔跑吧！兄弟,6.2%,364.54,11,7.7%,15.4%
463,狼图腾,5.4%,319.39,50,0.8%,25.7%
464,有种你爱我,4.5%,268.48,10,6.0%,17.0%
465,一路惊喜,4.3%,251.94,11,5.1%,18.2%
466,喜羊羊与灰太狼之羊年喜羊羊,2.1%,127.44,11,2.8%,15.7%
467,甜蜜蜜,2.0%,118.76,6,4.1%,7.8%
468,神探驾到,1.3%,78.08,9,1.8%,11.7%
469,坚不可摧,0.5%,34.54,18,0.3%,23.9%
470,智取威虎山,0.4%,29.01,33,0.1%,30.8%
471,深海挑战,0.4%,25.79,7,0.7%,8.0%
472,摩尔庄园3：魔幻列车大冒险,0.4%,24.19,6,0.8%,10.3%
473,蜡笔总动员,0.3%,19.44,6,0.8%,9.2%
474,新年行动,0.3%,19.00,4,1.1%,6.3%
475,我只要我们在一起,0.3%,17.70,2,2.0%,3.1%
476,死亡之谜,0.1%,6.50,4,0.3%,7.8%
477,重返20岁,<0.1%,4.03,14,<0.1%,21.9%
